,genes,Tech,organ,cell_type,regulate,logFC,FDR
453,Ccnd1,Vis,Heart,Cardiomyocytes,Up,0.595966849864648,0.0135443989982935
454,Pamr1,Vis,Heart,Cardiomyocytes,Up,0.808008908636211,0.0135975301838653
455,Pirt,Vis,Heart,Cardiomyocytes,Down,-1.03006886379301,0.0138270702842704
456,Cd84,Vis,Heart,Cardiomyocytes,Up,1.28184665247926,0.0138673329391879
457,Adamts7,Vis,Heart,Cardiomyocytes,Down,-0.558148670103554,0.0140699207468317
458,Hsd11b1,Vis,Heart,Cardiomyocytes,Up,0.57240927174071,0.014131669574623
459,Mpeg1,Vis,Heart,Cardiomyocytes,Up,1.08053308086318,0.0162868361761345
460,Thy1,Vis,Heart,Cardiomyocytes,Up,0.554024219259007,0.0172874978010826
461,Lgals3bp,Vis,Heart,Cardiomyocytes,Up,0.57386109771711,0.0191354208407844
462,Manf,Vis,Heart,Cardiomyocytes,Down,-0.864815831225581,0.0203285755887115
463,Acsl6,Vis,Heart,Cardiomyocytes,Up,0.792838737356443,0.0206246682738009
464,Pdlim1,Vis,Heart,Cardiomyocytes,Up,0.441157426404757,0.0220666981111622
465,St8sia6,Vis,Heart,Cardiomyocytes,Up,1.12064278437619,0.0223101882499449
466,Ms4a6c,Vis,Heart,Cardiomyocytes,Up,0.819367845873297,0.0228307880874316
467,Nmrk2,Vis,Heart,Cardiomyocytes,Up,1.80001512566196,0.0237057976933846
468,Clec4a1,Vis,Heart,Cardiomyocytes,Up,0.720609434491622,0.0237057976933846
469,Gpnmb,Vis,Heart,Cardiomyocytes,Up,1.04117628851845,0.0265445711548124
470,Csrnp1,Vis,Heart,Cardiomyocytes,Up,0.952929388954581,0.0280822384673383
471,Tmem267,Vis,Heart,Cardiomyocytes,Down,-0.652180204043957,0.028874850194926
472,Ighm,Vis,Heart,Cardiomyocytes,Up,0.737228111430911,0.0306705431072547
473,Cyb561,Vis,Heart,Cardiomyocytes,Up,0.82152739038764,0.0319369923199856
474,Gm12167,Vis,Heart,Cardiomyocytes,Down,-0.960380864569249,0.0326662844728318
475,Man2a1,Vis,Heart,Cardiomyocytes,Up,0.961692569473709,0.0345726869687219
476,Adh1,Vis,Heart,Cardiomyocytes,Up,1.16154491899545,0.0353144105128534
477,Ifi204,Vis,Heart,Cardiomyocytes,Up,0.913359766027324,0.0363965327408212
478,Pced1b,Vis,Heart,Cardiomyocytes,Up,0.929240686803967,0.0381409952195053
479,Kcne1,Vis,Heart,Cardiomyocytes,Down,-1.22854752729941,0.0385329105656748
480,Epha4,Vis,Heart,Cardiomyocytes,Down,-0.471165587496395,0.0385334089630588
481,Spock2,Vis,Heart,Cardiomyocytes,Up,0.666586221915464,0.039066574865635
482,Tlr7,Vis,Heart,Cardiomyocytes,Up,0.877073920361542,0.0402117903007713
483,Epha2,Vis,Heart,Cardiomyocytes,Up,0.598326434017153,0.0402588558935745
484,Itgb2,Vis,Heart,Cardiomyocytes,Up,0.78082105683595,0.0405636071182788
485,Mgat4a,Vis,Heart,Cardiomyocytes,Up,0.663435603135403,0.0427460796166344
486,Galnt15,Vis,Heart,Cardiomyocytes,Up,0.692003528714435,0.0462514411169226
487,Rassf9,Vis,Heart,Cardiomyocytes,Up,0.725127492885342,0.0466321655797811
488,Abcd2,Vis,Heart,Cardiomyocytes,Up,0.761611847690239,0.0487655424129255
489,Fam107a,Vis,Heart,Cardiomyocytes,Up,1.9761999332444,0.0489524329019692
490,Ccdc80,Vis,Heart,Fibroblast,Down,-0.981316047511943,0.0067459197598911
491,Ly6a,Vis,Heart,Fibroblast,Up,1.02439258333034,0.0143110194584093
492,Pltp,Vis,Heart,Fibroblast,Up,1.36226511105813,0.0190222348799939
493,Vim,Vis,Heart,Fibroblast,Down,-0.865399885969097,0.0190222348799939
494,Cygb,Vis,Heart,Fibroblast,Up,1.08314878944063,0.0305840850816675
495,Dpt,Vis,Heart,Fibroblast,Down,-0.814378565947762,0.0305840850816675
496,Egr1,Vis,Heart,Fibroblast,Down,-1.55624366488319,0.0305840850816675
497,Lyz2,Vis,Heart,Fibroblast,Up,0.909370357559335,0.0461689177930157
498,Akr1c21,ST,Kidney,Collecting_Duct_Epi,Down,-2.17593075254022,4.22086953003605e-06
499,Acsm2,ST,Kidney,Collecting_Duct_Epi,Down,-1.70029739136721,3.39595313533247e-05
500,Kcne1,ST,Kidney,Collecting_Duct_Epi,Down,-2.06715029171213,4.47603498931014e-05
501,Car12,ST,Kidney,Collecting_Duct_Epi,Down,-1.78227124357451,7.26114178379378e-05
502,Pah,ST,Kidney,Collecting_Duct_Epi,Down,-1.74370859662041,0.0001943756361738
503,Hdc,ST,Kidney,Collecting_Duct_Epi,Up,1.7471798838098,0.0002362909692828
504,Lyz2,ST,Kidney,Collecting_Duct_Epi,Up,1.73872292426307,0.0002865697969409
505,Car2,ST,Kidney,Collecting_Duct_Epi,Down,-1.32631183186407,0.000297681018861
506,Serpinb1a,ST,Kidney,Collecting_Duct_Epi,Down,-1.62876065432726,0.0005131464109559
507,Hsd11b2,ST,Kidney,Collecting_Duct_Epi,Down,-1.65479871632264,0.0006999402218175
508,Kl,ST,Kidney,Collecting_Duct_Epi,Down,-1.70553452085351,0.0026933451137866
509,Csf1r,ST,Kidney,Collecting_Duct_Epi,Up,1.31194942574662,0.0027968062406067
510,Miox,ST,Kidney,Collecting_Duct_Epi,Down,-1.32171199485319,0.0029753560165592
511,Cav1,ST,Kidney,Collecting_Duct_Epi,Down,-1.31081781912666,0.0035537455737635
512,Pipox,ST,Kidney,Collecting_Duct_Epi,Down,-1.98053978026987,0.0043417855467682
513,C1qa,ST,Kidney,Collecting_Duct_Epi,Up,1.5255364522187,0.0044850988770361
514,Krt8,ST,Kidney,Collecting_Duct_Epi,Up,1.05111310609206,0.0046973368038047
515,Glyat,ST,Kidney,Collecting_Duct_Epi,Down,-1.30690061204163,0.0049084782242203
516,Cystm1,ST,Kidney,Collecting_Duct_Epi,Down,-1.25583650285328,0.0059849692020677
517,Nat8f1,ST,Kidney,Collecting_Duct_Epi,Down,-1.1955699030998,0.0064597287944766
518,Apoe,ST,Kidney,Collecting_Duct_Epi,Up,0.840217307253744,0.0088738030908123
519,Gata2,ST,Kidney,Collecting_Duct_Epi,Down,-1.00888454978986,0.0107178428386713
520,Atp6v0d2,ST,Kidney,Collecting_Duct_Epi,Down,-1.05457071172308,0.011335894913139
521,C1qb,ST,Kidney,Collecting_Duct_Epi,Up,1.18675904695201,0.0115102387471602
522,Ass1,ST,Kidney,Collecting_Duct_Epi,Down,-1.4583059551366,0.0121093730372036
523,Cyp2d12,ST,Kidney,Collecting_Duct_Epi,Up,1.41837682961163,0.0123971086115557
524,Serpinb6a,ST,Kidney,Collecting_Duct_Epi,Up,1.24910423042421,0.0136665585357009
525,Slc9a8,ST,Kidney,Collecting_Duct_Epi,Up,1.35945921272783,0.013743049956231
526,Slc16a5,ST,Kidney,Collecting_Duct_Epi,Down,-1.18998562109336,0.0158555356907883
527,Slc4a9,ST,Kidney,Collecting_Duct_Epi,Down,-1.00415950821692,0.0169444603849535
528,Serping1,ST,Kidney,Collecting_Duct_Epi,Up,0.969366043357539,0.0180143022483475
529,Atp6v1g3,ST,Kidney,Collecting_Duct_Epi,Down,-0.772110059295724,0.0186247738330206
530,Cd24a,ST,Kidney,Collecting_Duct_Epi,Up,0.991020397669936,0.0214364758530217
531,Insrr,ST,Kidney,Collecting_Duct_Epi,Down,-0.958696078322484,0.0217600258851241
532,Slc4a4,ST,Kidney,Collecting_Duct_Epi,Down,-0.866877018797855,0.0239839851131971
533,Bgn,ST,Kidney,Collecting_Duct_Epi,Up,0.924471731273914,0.0239904840019253
534,Lrp1,ST,Kidney,Collecting_Duct_Epi,Up,0.987113071276963,0.0252213935788444
535,Cd74,ST,Kidney,Collecting_Duct_Epi,Up,0.946727204872117,0.0257108373141379
536,Exoc3l4,ST,Kidney,Collecting_Duct_Epi,Down,-1.05252873291867,0.0309286887460421
537,Inmt,ST,Kidney,Collecting_Duct_Epi,Down,-1.21981013283718,0.0315409002413828
538,Il6st,ST,Kidney,Collecting_Duct_Epi,Up,0.9130664101479,0.0369489264700873
539,Cyp2j6,ST,Kidney,Collecting_Duct_Epi,Down,-0.88368094549826,0.0369489264700873
540,Rhcg,ST,Kidney,Collecting_Duct_Epi,Down,-0.769781528108609,0.0378284928430799
541,Aebp1,ST,Kidney,Collecting_Duct_Epi,Up,0.778024412828972,0.0393318845334251
542,Eps8,ST,Kidney,Collecting_Duct_Epi,Down,-0.711304951562379,0.0416552302789171
543,Abr,ST,Kidney,Collecting_Duct_Epi,Down,-0.751764529281681,0.045598424356716
544,Ighm,ST,Kidney,Collecting_Duct_Epi,Up,1.72158171253377,0.0462093369336767
545,Pigr,ST,Kidney,Distal_Conv_Epi,Up,2.10379686066337,6.02986054287007e-05
546,Hdc,ST,Kidney,Distal_Conv_Epi,Up,1.99046297473275,8.54191536353693e-05
547,Cyp2d12,ST,Kidney,Distal_Conv_Epi,Up,2.24675398323367,0.0001339873473332
548,Vegfd,ST,Kidney,Distal_Conv_Epi,Up,1.46948948852348,0.0035746832445689
549,Capg,ST,Kidney,Distal_Conv_Epi,Up,1.45919040379083,0.0042222493846241
550,Lyz2,ST,Kidney,Distal_Conv_Epi,Up,1.47813476596775,0.009250525551565
551,Aebp1,ST,Kidney,Distal_Conv_Epi,Up,1.04970901339207,0.0124869566993029
552,Fxyd5,ST,Kidney,Distal_Conv_Epi,Up,1.73094044316142,0.0124869566993029
553,C1qa,ST,Kidney,Distal_Conv_Epi,Up,1.31192140774785,0.017908494604768
554,Serping1,ST,Kidney,Distal_Conv_Epi,Up,1.0479577828591,0.0189623964242158
555,Cd74,ST,Kidney,Distal_Conv_Epi,Up,1.37969278325888,0.0209312678489253
556,Bgn,ST,Kidney,Distal_Conv_Epi,Up,1.12564446396795,0.0263286947998092
557,Fgf1,ST,Kidney,Distal_Conv_Epi,Up,1.02241950348342,0.0264363843123423
