,LR pairs,tech,organ,regulate,logFC,FDR
118,Icam1-Itgav,Visium,Brain,Up,0.708183489,0.000644214
119,Mif-Cd74,Visium,Brain,Up,0.872890792,0.000680099
120,Wnt3-Fzd7,Visium,Brain,Up,1.051140061,0.000680099
121,Calr-Scarf1,Visium,Brain,Down,-0.637365093,0.000756746
122,Hmgb1-Tlr1,Visium,Brain,Up,1.021114772,0.00079489
123,Thbs4-Sdc1,Visium,Brain,Down,-1.831858606,0.0008309
124,Liph-Lpar1,Visium,Brain,Up,1.219983268,0.000965152
125,Hbegf-Cd44,Visium,Brain,Up,0.752888787,0.000976651
126,Calm1-Kcnq1,Visium,Brain,Down,-0.746271733,0.001108292
127,Pros1-Mertk,Visium,Brain,Up,0.641627645,0.001121526
128,Lamc1-Cd44,Visium,Brain,Up,0.765749325,0.001152334
129,Vegfa-Nrp2,Visium,Brain,Up,0.563655795,0.001152334
130,Robo1-Robo1,Visium,Brain,Up,0.65256462,0.001192758
131,Ccl27a-Ackr2,Visium,Brain,Down,-0.652906835,0.001207351
132,Serpine1-Lrp1,Visium,Brain,Up,1.286647084,0.001216775
133,Lamb2-Cd44,Visium,Brain,Up,0.860921659,0.001217193
134,Apoe-Sorl1,Visium,Brain,Up,0.390455526,0.001500037
135,C1ql4-Adgrb3,Visium,Brain,Down,-1.438962208,0.001500037
136,Spp1-Itgb3,Visium,Brain,Up,1.643663368,0.001503022
137,Vwf-Tnfrsf11b,Visium,Brain,Up,1.069441782,0.001611419
138,Fn1-Cd44,Visium,Brain,Up,0.686827051,0.001674355
139,Igfbp4-Fzd8,Visium,Brain,Down,-0.540515488,0.001840093
140,Hmgb1-Itgam,Visium,Brain,Up,0.542372693,0.002024394
141,Cxcl12-Cmklr1,Visium,Brain,Up,0.937068098,0.002047282
142,Spp1-Itgav,Visium,Brain,Up,0.89017519,0.002047282
143,S100a4-Egfr,Visium,Brain,Up,0.707926705,0.002107638
144,Spp1-Itgb1,Visium,Brain,Up,0.832260803,0.0025148
145,Vwf-Lrp1,Visium,Brain,Up,0.441327854,0.002517374
146,Tgfb1-Itgb8,Visium,Brain,Up,0.544000144,0.002663337
147,Pf4-Lrp1,Visium,Brain,Down,-0.620643413,0.002762612
148,Wnt2-Frzb,Visium,Brain,Down,-0.622068244,0.002806526
149,Dcn-Met,Visium,Brain,Down,-1.411084592,0.00326538
150,Reln-Itga3,Visium,Brain,Down,-0.479357592,0.003876291
151,Ucn-Crhr1,Visium,Brain,Down,-2.327259544,0.003890357
152,Lgals3-Itgb3,Visium,Brain,Up,1.732581849,0.004184997
153,Vegfa-Npr1,Visium,Brain,Up,0.635068216,0.004297484
154,Tgfb1-Tgfbr2,Visium,Brain,Up,0.599268252,0.004307502
155,Icam4-Itgb2,Visium,Brain,Up,0.866132676,0.004307502
156,Col9a2-Sdc1,Visium,Brain,Down,-0.930141591,0.004454506
157,Vegfa-Ptprb,Visium,Brain,Up,0.435730986,0.004454506
158,Daglb-Cnr2,Visium,Brain,Up,1.196834754,0.004538185
159,A2m-Lrp1,Visium,Brain,Up,0.744187493,0.00498345
160,Apoe-Lrp8,Visium,Brain,Up,0.359017492,0.005119092
161,S100a10-Trpv6,Visium,Brain,Down,-0.784410315,0.00547518
162,Pf4-Thbd,Visium,Brain,Down,-0.865037455,0.00590847
