,gene,tech,organ,regulate,logFC,FDR
4255,Lamtor5,STomics,Kidney,Down,-0.566486226459782,0.0113127306063433
4256,Aqp6,STomics,Kidney,Up,0.995252122994656,0.0115033990825833
4257,Fbxo36,STomics,Kidney,Down,-0.599303861818617,0.0115033990825833
4258,Wdr55,STomics,Kidney,Down,-0.698463349435871,0.0115202918979046
4259,Ubr4,STomics,Kidney,Up,0.725846467861031,0.0115800407353665
4260,Drg1,STomics,Kidney,Up,0.603202532106056,0.0115800407353665
4261,Hltf,STomics,Kidney,Down,-0.583968441915405,0.0115800407353665
4262,Trpm3,STomics,Kidney,Up,1.12254316682147,0.0116994920469624
4263,Psmb7,STomics,Kidney,Down,-0.543276241228913,0.0117079296111347
4264,Hspe1,STomics,Kidney,Down,-0.710171106184443,0.0117526248828066
4265,Cenpv,STomics,Kidney,Down,-0.979122211230571,0.0117526248828066
4266,Ddit3,STomics,Kidney,Up,0.769030751824873,0.0117526248828066
4267,Kcnj16,STomics,Kidney,Up,0.727878937443236,0.0117831495145609
4268,1810024B03Rik,STomics,Kidney,Down,-0.856860357109894,0.0118203624175865
4269,Fgf12,STomics,Kidney,Up,1.21938816945639,0.0118203624175865
4270,Chac2,STomics,Kidney,Down,-0.665529521576859,0.0118649187565424
4271,Sepsecs,STomics,Kidney,Down,-0.722868031430125,0.0119051116396412
4272,Hus1,STomics,Kidney,Down,-0.688711362590711,0.0119231089441464
4273,Dhdh,STomics,Kidney,Up,0.759201057340255,0.0119729728605439
4274,Rabepk,STomics,Kidney,Down,-0.59498644990699,0.0119729728605439
4275,Fxyd5,STomics,Kidney,Up,1.05746387958323,0.0120007809456743
4276,Ikbkb,STomics,Kidney,Up,0.527044479244227,0.0120007809456743
4277,Kirrel3,STomics,Kidney,Up,1.42814752426624,0.0120030741425337
4278,Gatm,STomics,Kidney,Down,-1.16995766334536,0.0120518525970107
4279,Med21,STomics,Kidney,Down,-1.15183702093948,0.0120620408847615
4280,Slc22a29,STomics,Kidney,Down,-1.19596999263956,0.012146423467981
4281,Pcolce,STomics,Kidney,Up,0.563669021854095,0.012146423467981
4282,Etfrf1,STomics,Kidney,Down,-0.697492525296272,0.0121768147746413
4283,Laptm4b,STomics,Kidney,Up,1.05215704097257,0.0121768147746413
4284,Gm10175,STomics,Kidney,Down,-1.91548256335511,0.0122896473369269
4285,Ttc32,STomics,Kidney,Down,-0.868580230470541,0.012344190415853
4286,Fmc1,STomics,Kidney,Down,-1.11145741161976,0.012344190415853
4287,Tnfaip8,STomics,Kidney,Down,-0.842325129476658,0.012344291903685
4288,Slc40a1,STomics,Kidney,Down,-0.783086454787259,0.012344291903685
4289,Gm5526,STomics,Kidney,Up,1.2361748980898,0.0124318399601787
4290,Mad1l1,STomics,Kidney,Up,0.810523482975753,0.0125987430439804
4291,Snhg9,STomics,Kidney,Up,1.70242738581122,0.0126625942335353
4292,Bdh2,STomics,Kidney,Down,-1.04001977798866,0.0127356741276854
4293,Zfp839,STomics,Kidney,Up,0.629457827798672,0.0127671210011801
4294,Epdr1,STomics,Kidney,Down,-1.161393951946,0.0127821496113766
4295,Nrxn3,STomics,Kidney,Up,1.47371256660032,0.0128049834881518
4296,Cnot7,STomics,Kidney,Down,-0.645443194735363,0.0128116981186694
4297,Tlnrd1,STomics,Kidney,Down,-0.58761020575057,0.0128829761878073
4298,Bzw1,STomics,Kidney,Down,-0.65229161631729,0.0129009886999058
4299,Stk32b,STomics,Kidney,Up,0.761884557643575,0.0129009886999058
4300,9330111N05Rik,STomics,Kidney,Up,1.61302339498325,0.0129009886999058
4301,Kcnq5,STomics,Kidney,Up,1.45220304064508,0.0129009886999058
4302,Cyp26b1,STomics,Kidney,Up,1.12685916755394,0.0129648742637008
4303,Rcn3,STomics,Kidney,Up,0.549550243401347,0.0130388882457022
4304,Thap2,STomics,Kidney,Down,-0.650334210719201,0.0131340790981731
4305,Arhgap45,STomics,Kidney,Up,1.06114994643418,0.0131340790981731
4306,Lsamp,STomics,Kidney,Up,1.06808771801886,0.0131340790981731
4307,Dynll2,STomics,Kidney,Up,0.700856602943631,0.0131340790981731
4308,Creg1,STomics,Kidney,Down,-0.664780139937795,0.0132046629591368
4309,Fcgr3,STomics,Kidney,Up,0.703153827929749,0.0132116927534509
4310,Aacs,STomics,Kidney,Down,-1.11594129145009,0.0132116927534509
4311,Npas2,STomics,Kidney,Up,1.08695918654161,0.0132116927534509
4312,Npas3,STomics,Kidney,Up,1.69764625563627,0.0132269416470234
4313,Mylip,STomics,Kidney,Down,-0.60023060920104,0.0132405115328165
4314,Tmem11,STomics,Kidney,Down,-0.510855673791151,0.0133040774368405
4315,Slc1a2,STomics,Kidney,Up,1.29444766612562,0.0133040774368405
4316,Tbc1d12,STomics,Kidney,Down,-0.757100262932064,0.0133040774368405
4317,Sdf4,STomics,Kidney,Up,0.505849913064635,0.0133164413626196
4318,Bhmt,STomics,Kidney,Down,-1.19833862620919,0.0133350942363071
4319,Plpp6,STomics,Kidney,Down,-0.871629345058869,0.0133853822047011
4320,Fam220a,STomics,Kidney,Down,-0.742794792268704,0.0134204267965683
4321,Plekha2,STomics,Kidney,Up,0.558698850199904,0.013422123825524
4322,Stradb,STomics,Kidney,Down,-0.906013387765461,0.013463138087678
4323,Etfb,STomics,Kidney,Up,0.623101249632479,0.013463138087678
4324,Emc10,STomics,Kidney,Up,1.43686235293367,0.0135144983398896
4325,Tmem165,STomics,Kidney,Down,-0.671193822125531,0.0135259852780849
4326,Noc2l,STomics,Kidney,Up,0.551226751131118,0.0135259852780849
4327,Uchl1,STomics,Kidney,Up,1.01711863442791,0.0135753742916248
4328,Dync1h1,STomics,Kidney,Up,0.908468724039481,0.0135753742916248
4329,Lztfl1,STomics,Kidney,Down,-0.788964075061573,0.013589611395371
4330,Oasl2,STomics,Kidney,Up,0.611701522154797,0.0136292707429641
4331,Gramd1a,STomics,Kidney,Up,0.540935373450555,0.0138269439848092
4332,Eri3,STomics,Kidney,Up,0.52936379169324,0.0138388546280374
4333,Septin2,STomics,Kidney,Down,-0.510553656815923,0.0138829306264011
4334,Runx1,STomics,Kidney,Up,1.24075237142755,0.0138892383183101
4335,Haus2,STomics,Kidney,Down,-0.697732319416745,0.0139088456449468
4336,Slc22a6,STomics,Kidney,Down,-1.40413430997643,0.0139088456449468
4337,H2aw,STomics,Kidney,Down,-0.682714537262059,0.0139088456449468
4338,Fam98a,STomics,Kidney,Up,0.570164024518305,0.0139562780306421
4339,Gm30551,STomics,Kidney,Up,0.810023485268835,0.0140304444463999
4340,Gm45193,STomics,Kidney,Up,0.588395129786825,0.0140304444463999
4341,Stim1,STomics,Kidney,Up,0.500754225733761,0.0140304444463999
4342,Gm42067,STomics,Kidney,Down,-0.81331480927761,0.0140601936853139
4343,Lman1,STomics,Kidney,Down,-0.561713040588987,0.0140601936853139
4344,Rilpl1,STomics,Kidney,Up,0.816657974359943,0.0140625543540472
4345,Ighm,STomics,Kidney,Up,2.35959284551913,0.0141994807133428
4346,Tcirg1,STomics,Kidney,Up,1.36182046801824,0.0142602208757165
4347,Sectm1b,STomics,Kidney,Down,-1.76852810372447,0.014368500518496
4348,Axl,STomics,Kidney,Up,0.551908286326651,0.014368500518496
4349,Pigh,STomics,Kidney,Down,-0.654382624051865,0.0144063951678525
4350,Aimp1,STomics,Kidney,Down,-0.640483711064496,0.0144363286458483
4351,Rrp12,STomics,Kidney,Up,0.774191212253863,0.0145020429806778
4352,Thyn1,STomics,Kidney,Down,-0.828670529497872,0.0145373355201516
4353,Nrde2,STomics,Kidney,Up,0.59373660162509,0.0146191440561648
4354,Tpm3,STomics,Kidney,Up,1.07580939989186,0.0146306404491284
4355,Gpatch2l,STomics,Kidney,Up,0.586184554002722,0.0146417630814399
4356,N4bp3,STomics,Kidney,Up,0.868929728303041,0.0146417630814399
4357,Npm3,STomics,Kidney,Down,-0.665787235523918,0.0146417630814399
4358,Slc6a13,STomics,Kidney,Up,0.854268911531445,0.0147070232921278
4359,Hdac4,STomics,Kidney,Up,0.569139449077952,0.0147070232921278
4360,Map2k7,STomics,Kidney,Up,0.642577129458904,0.0147272848001046
4361,Kin,STomics,Kidney,Down,-0.736100651617694,0.0147668053750086
4362,Fkrp,STomics,Kidney,Down,-0.576864261064391,0.0147720207196816
4363,Slc5a10,STomics,Kidney,Up,0.826664047472478,0.0148399677626139
4364,Sema4b,STomics,Kidney,Up,0.611395153643045,0.0148402745413214
4365,Arhgap22,STomics,Kidney,Up,0.8989754431911,0.0148479143500108
4366,Sap30,STomics,Kidney,Down,-0.782759173128023,0.0148479143500108
4367,Pbxip1,STomics,Kidney,Up,0.734462457558366,0.0148479143500108
4368,Slfn2,STomics,Kidney,Up,0.594397431704155,0.0148479143500108
4369,Olfm3,STomics,Kidney,Down,-1.12936620988989,0.0148479143500108
4370,Id2,STomics,Kidney,Down,-1.46205168901375,0.0148755913427772
4371,Naaladl2,STomics,Kidney,Up,1.15907184952968,0.0148755913427772
4372,Apip,STomics,Kidney,Down,-0.573879015656217,0.0149260215368221
4373,Ndufc2,STomics,Kidney,Down,-1.12320359742235,0.0150134170904749
4374,Smox,STomics,Kidney,Up,0.869343175939904,0.015033612547113
4375,Vps26a,STomics,Kidney,Down,-0.576480879123555,0.015060500689938
4376,Slc29a1,STomics,Kidney,Down,-1.01927814761723,0.0151533113213325
4377,Ap5m1,STomics,Kidney,Down,-0.721224522591496,0.0151533113213325
4378,Ttf2,STomics,Kidney,Up,0.692507347681627,0.0151533113213325
4379,Tmem216,STomics,Kidney,Down,-0.968371929515388,0.0151533113213325
4380,Rcsd1,STomics,Kidney,Up,0.583286575130829,0.0151622597335152
4381,Socs4,STomics,Kidney,Down,-0.684913292879502,0.0151694307144753
4382,Ak2,STomics,Kidney,Down,-0.546470582425293,0.0152206519942757
4383,Trf,STomics,Kidney,Up,0.542781216857106,0.0152585766715554
4384,Pura,STomics,Kidney,Down,-0.662938439101942,0.0152585766715554
4385,Ubr7,STomics,Kidney,Down,-0.574796442028147,0.0152585766715554
4386,Ntn4,STomics,Kidney,Up,0.739647411077502,0.0152585766715554
4387,Dipk1a,STomics,Kidney,Down,-0.600182668393088,0.0154514705226042
