"","Ligand.gene.symbol","Receptor.gene.symbol"
"383","Penk","Oprd1"
"384","Penk","Oprk1"
"385","Penk","Oprl1"
"386","Penk","Oprm1"
"387","Pomc","Oprd1"
"388","Pomc","Oprk1"
"389","Pomc","Oprl1"
"390","Pomc","Oprm1"
"391","Hcrt","Hcrtr1"
"392","Hcrt","Hcrtr2"
"393","Oxt","Oxtr"
"394","Sst","Sstr1"
"395","Sst","Sstr2"
"396","Sst","Sstr3"
"397","Sst","Sstr4"
"398","Sst","Sstr5"
"399","Cort","Sstr1"
"400","Cort","Sstr2"
"401","Cort","Sstr3"
"402","Cort","Sstr4"
"403","Cort","Sstr5"
"404","Tac1","Tacr1"
"405","Tac4","Tacr1"
"406","Tac1","Tacr2"
"407","Tac2","Tacr3"
"408","Uts2","Uts2r"
"409","Avp","Avpr2"
"410","Avp","Avpr1a"
"411","Avp","Avpr1b"
"412","Prlh","Prlhr"
"413","Gm10334","F2r"
"414","Try5","F2r"
"415","Ctsg","F2r"
"416","F2","F2r"
"417","Gzma","F2r"
"418","Prss2","F2r"
"419","Try4","F2r"
"420","Try10","F2r"
"421","Gm10334","F2rl1"
"422","Try5","F2rl1"
"423","Ctsg","F2rl1"
"424","F2","F2rl1"
"425","Gzma","F2rl1"
"426","Prss2","F2rl1"
"427","Try4","F2rl1"
"428","Try10","F2rl1"
"429","Gm10334","F2rl2"
"430","Try5","F2rl2"
"431","Ctsg","F2rl2"
"432","F2","F2rl2"
"433","Gzma","F2rl2"
"434","Prss2","F2rl2"
"435","Try4","F2rl2"
"436","Try10","F2rl2"
"437","Gm10334","F2rl3"
"438","Try5","F2rl3"
"439","Ctsg","F2rl3"
"440","F2","F2rl3"
"441","Gzma","F2rl3"
"442","Plg","F2rl3"
"443","Prss2","F2rl3"
"444","Try4","F2rl3"
"445","Try10","F2rl3"
"446","Gm10334","Pard3"
"447","Try5","Pard3"
"448","Ctsg","Pard3"
"449","F2","Pard3"
"450","Gzma","Pard3"
"451","Plg","Pard3"
"452","Prss2","Pard3"
"453","Try4","Pard3"
"454","Try10","Pard3"
"455","Pmch","Mchr1"
"456","Prok1","Prokr2"
"457","Prok1","Prokr1"
"458","Prok2","Prokr1"
"459","Prok2","Prokr2"
"460","Adcyap1","Adcyap1r1"
"461","Vip","Vipr1"
"462","Vip","Vipr2"
"463","Nppa","Npr1"
"464","Nppb","Npr1"
"465","Nppc","Npr2"
"466","Kitl","Kit"
"467","Gcg","Gipr"
"468","Gip","Gipr"
"469","Fshb","Fshr"
"470","Cga","Fshr"
"471","Lhb","Lhcgr"
"472","Cga","Lhcgr"
"473","Tshb","Tshr"
"474","Cga","Tshr"
"475","Bdnf","Ntrk2"
"476","Ngf","Ntrk1"
"477","Flt3l","Flt3"
"478","Hgf","Met"
"479","Ngfa","Ntrk1"
"480","Ntf3","Ntrk1"
"481","Ntf3","Ntrk2"
"482","Ntf3","Ntrk3"
"483","Ntf5","Ntrk2"
"484","Sema3c","Plxnd1"
"485","Sema3e","Plxnd1"
"486","Adm","Calcr"
